word_1,word_2,human_judged,word_1_num,word_2_num,pure_bigrams,ppmi,pca_10,pca_100,pca_300
cord,smile,0.02,5000,1927,0.17038855027411942,0.07824357867172917,0.44429518269650825,0.05142387008950098,0.13693160740304752
rooster,voyage,0.04,5003,5018,0.0,0.0,0.6563140904518882,0.021270530987826976,-0.07066030199308741
noon,string,0.04,4065,5017,0.2857142857142857,0.030977851709564276,0.9093853232830814,-0.008926524482803504,0.05262460047126925
fruit,furnace,0.05,3137,5012,0.32338956762082016,0.03774718641026638,0.36143358599686837,-0.09771865535723355,-0.023959291389924156
autograph,shore,0.06,5004,1826,0.0,0.0,-0.009474816109671769,-0.021005775999086415,-0.03247519946942851
automobile,wizard,0.11,2210,5001,0.0,0.0,0.13298432974678093,0.03928655294143453,-0.020122185321402412
mound,stove,0.14,5014,5021,0.12126781251816648,0.055919103102287496,0.8520768522989933,-0.011315263188916309,0.06696935178993633
grin,implement,0.18,5011,5029,0.0,0.0,-0.017911286417268163,-0.03568594515171678,-0.0400185626841493
asylum,fruit,0.19,5026,3137,0.0,0.0,0.5855029141272436,0.09286644266907966,0.01131244737510236
asylum,monk,0.39,5026,5006,0.2581988897471611,0.17521696290467367,-0.0020458800658740145,0.2262864600047808,0.20596500718834157
graveyard,madhouse,0.42,5022,5009,0.0,0.0,0.7584122644460001,-0.04544305342378572,-0.010336415613288009
glass,magician,0.44,1078,5027,0.16910636171603033,0.003909731465638165,0.30375220604222414,0.0341702975066287,0.012758786308571222
boy,rooster,0.44,389,5003,0.4394690514817857,0.023697858632654573,-0.29536364748245425,-0.21270136248697227,-0.1523481239415024
cushion,jewel,0.45,5016,5002,0.0,0.0,0.4942824452546079,0.016141347948671156,-0.004389800260745265
monk,slave,0.57,5006,3578,0.0761386987626881,0.04126631350576816,0.5849395385164653,0.20764219231781111,0.1061666700912477
asylum,cemetery,0.79,5026,5030,0.0,0.0,0.11571657347995837,-0.024522536228701954,-0.06272605276663765
coast,forest,0.85,1804,1657,0.2573488186153186,0.01641538330567572,0.517876746265671,0.05281352748949163,0.06781728864511058
grin,lad,0.88,5011,5008,0.0,0.0,0.16069406598173933,-0.06112306643215921,-0.06874129880571007
shore,woodland,0.9,1826,5025,0.3922322702763681,0.08584775990129158,-0.23554675615063556,0.33671648822927575,0.21476215620258754
monk,oracle,0.91,5006,5005,0.0,0.0,-0.2937696309673645,-0.07469732628684364,-0.07142615787232091
boy,sage,0.96,389,5020,0.020716769761626043,0.0,-0.33679930924265805,-0.33548667066491317,-0.16689835470940506
automobile,cushion,0.97,2210,5016,0.11512943346800043,0.004774293547138567,0.2537697180196254,-0.0742059628124446,-0.06477700798658302
mound,shore,0.97,5014,1826,0.14708710135363803,0.0019488181180515856,-0.2651966980407693,-0.04731877189245169,-0.028698704699089007
lad,wizard,0.99,5008,5001,0.0,0.0,0.2447861231523783,-0.04403332410686185,-0.042265740671665795
forest,graveyard,1.0,1657,5022,0.03580574370197164,0.0,-0.0419129937825221,-0.16145404570820251,-0.1041663903013483
food,rooster,1.09,682,5003,0.7307692307692307,0.05147305798792913,-0.3528024808385026,-0.1268712951306103,-0.07176741711170317
cemetery,woodland,1.18,5030,5025,0.0,0.0,0.11571657347995837,-0.024522536228702107,-0.06272605276663717
shore,voyage,1.22,1826,5018,0.4167467871686411,0.04389181230877747,-0.17805329661956382,0.18752845877745364,0.07358054244383358
bird,woodland,1.24,3447,5025,0.0,0.0,0.4243193221685959,-0.025078142670273182,-0.03464056781052133
coast,hill,1.26,1804,1493,0.28138992679357017,0.06078991251190558,-0.1484492033322178,0.08470650203399165,0.07813633607479271
furnace,implement,1.37,5012,5029,0.1386750490563073,0.02845522110338792,-0.1551650275928686,0.009648251882623792,0.03950143049861071
crane,rooster,1.41,5007,5003,0.0,0.0,0.7808029985378142,0.2058923701826671,0.14626117233558053
hill,woodland,1.48,1493,5025,0.0,0.0,-0.2568223291195704,-0.07564495091987156,-0.025248739703565035
car,journey,1.55,346,3742,0.4003482063036407,0.03428263244908529,0.24727182974630452,0.15520468889875297,0.019395001160695407
cemetery,mound,1.69,5030,5014,0.07216878364870323,0.03642097992299107,0.4976711517315166,0.025718131992561392,0.016884509156282902
glass,jewel,1.78,1078,5002,0.31066822384709863,0.06756080222219936,0.19934450829164474,0.18842644094649347,0.12944306364759503
magician,oracle,1.82,5027,5005,0.0,0.0,0.12002099965528067,0.13990847016960503,0.05635929559874754
crane,implement,2.37,5007,5029,0.25,0.20742379345776488,0.73851412848271,0.24748595378092367,0.23820742830141375
brother,lad,2.44,1478,5008,0.11867816581938533,0.039644333826042974,0.18804244206783227,0.07834078138342856,0.03343518974771913
sage,wizard,2.46,5020,5001,0.0,0.0,0.7422668386957602,0.34097312906011645,0.13110049367809587
oracle,sage,2.61,5005,5020,0.0,0.0,0.4358241475764363,0.2957252802290814,0.1743150846549555
bird,crane,2.63,3447,5007,0.0944911182523068,0.005035662944175693,0.32513101490014623,-0.014793826100066276,-0.01738163287401863
bird,cock,2.63,3447,5024,0.0,0.0,0.38751881749483474,-0.015752000558597472,-0.03566545823069583
food,fruit,2.69,682,3137,0.5177681952338758,0.047722327891682716,-0.16400572722640328,0.04164049302309729,0.07879742456697957
brother,monk,2.74,1478,5006,0.1733405560069758,0.017903419894598562,0.7643205521933223,0.1619093098755674,-0.012221653644558857
asylum,madhouse,3.04,5026,5009,0.0,0.0,0.9468388763133719,0.13600273308805008,0.10355324745964468
furnace,stove,3.11,5012,5021,0.6054055145966812,0.2533229580586236,0.5808307509022996,0.4804679472058732,0.4384617318238588
magician,wizard,3.21,5027,5001,0.0,0.0,0.8976549993292147,0.2581566414078351,0.06509641633066236
hill,mound,3.29,1493,5014,0.09291176828089578,0.009531094999343312,0.07454995997834281,-0.17506081392415657,-0.05962267773404778
cord,string,3.41,5000,5017,0.5465943944999485,0.11721062998290219,0.1639251050107577,0.32101752641487247,0.2232289425612119
glass,tumbler,3.45,1078,5015,0.0,0.0,0.2043357484192206,0.035707872793738674,-0.0004797973384608403
grin,smile,3.46,5011,1927,0.4501830701325197,0.09517663504787724,0.4199998053625526,0.10247166189261335,0.1341129143196085
serf,slave,3.46,5013,3578,0.0,0.0,0.5388666349769116,0.21855595882680476,0.12183809955691506
journey,voyage,3.58,3742,5018,0.14433756729740646,0.03439079220987906,0.5035936452081663,0.042709612379899946,0.020124867605434114
autograph,signature,3.59,5004,5023,0.0,0.0,0.3394676831511719,0.16829768801948272,0.1098554542249204
coast,shore,3.6,1804,1826,0.3782239749093549,0.00715301416752325,-0.237127584578015,0.025618891717229836,-0.04593635176567583
forest,woodland,3.65,1657,5025,0.0,0.0,-0.18565673105379316,-0.18289979730321074,-0.08212891766542572
implement,tool,3.66,5029,2788,0.0,0.0,-0.09652463751557026,-0.1058180933789654,-0.045879138640140794
cock,rooster,3.68,5024,5003,0.0,0.0,0.8790618218292414,0.5764738557115255,0.36989129418634503
boy,lad,3.82,389,5008,0.3003931615435776,0.053694180529216214,0.5083324139126336,0.152848754499333,0.09407299527572123
cushion,pillow,3.84,5016,5028,0.2182178902359924,0.04312149842155853,0.5282458895114399,-0.038960825529461035,-0.022462094147581442
cemetery,graveyard,3.88,5030,5022,0.12909944487358058,0.04273618968535012,0.6352274801140014,0.1645678150148606,0.052948762170766585
automobile,car,3.92,2210,346,0.37163009296533117,0.043640253322814654,-0.08018725097035893,0.1261651032979843,0.04906561753578846
midday,noon,3.94,5010,4065,0.08247860988423227,0.04728196998397515,0.5897926300993208,0.44010721521120116,0.22474274851992093
gem,jewel,3.94,5019,5002,0.0,0.0,0.902101524232257,0.5420677406557164,0.21078315533989495
